"filename", "language", "JSON", "JSON with Comments", "Less", "TypeScript", "HTML", "Markdown", "CSS", "JavaScript", "YAML", "comment", "blank", "total"
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\chat\chat.component.ts", "TypeScript", 0, 0, 0, 104, 0, 0, 0, 0, 0, 53, 19, 176
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\detail-course\detail-course.component.html", "HTML", 0, 0, 0, 0, 307, 0, 0, 0, 0, 16, 32, 355
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\detail-course\detail-course.component.less", "Less", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 9, 75
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\detail-course\detail-course.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\detail-course\detail-course.component.ts", "TypeScript", 0, 0, 0, 650, 0, 0, 0, 0, 0, 18, 68, 736
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\learning-course\learning-course.component.html", "HTML", 0, 0, 0, 0, 229, 0, 0, 0, 0, 6, 23, 258
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\learning-course\learning-course.component.less", "Less", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 14, 106
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\learning-course\learning-course.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\learning-course\learning-course.component.ts", "TypeScript", 0, 0, 0, 689, 0, 0, 0, 0, 0, 16, 59, 764
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\directives\next.directive.spec.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\directives\next.directive.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\do-an-tot-nghiep\DATN\src\app\pages\user\course\list-course\directives\prev.directive.spec.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
